retailer_product_id,category
4145934,baby
4150071,baby
4150093,baby
4150129,baby
4151992,baby
4154990,baby
4155406,baby
4158890,baby
4158936,baby
4159145,baby
4159611,baby
4161668,baby
4161690,baby
4161840,baby
4161883,baby
4161974,baby
4161996,baby
4162398,baby
4162536,baby
4162616,baby
4162922,baby
4162944,baby
4162999,baby
4163051,baby
4163346,baby
4163390,baby
4163437,baby
4163470,baby
4165137,baby
4165148,baby
4165159,baby
4165160,baby
4165170,baby
4186104,baby
4205424,baby
4205901,baby
4209516,baby
4253788,baby
4253799,baby
4253824,baby
4253846,baby
4277367,baby
4277389,baby
4277390,baby
4277607,baby
4277630,baby
4277640,baby
4279963,baby
4281310,baby
4289628,baby
4289640,baby
4317778,baby
4317789,baby
4586011,baby
4590697,baby
4590733,baby
4991905,baby
4992078,baby
4992090,baby
4992307,baby
4992330,baby
4992511,baby
4992599,baby
5015843,baby
5020763,baby
5023546,baby
5023580,baby
5025370,baby
5025552,baby
5033583,baby
5033663,baby
5033685,baby
5033845,baby
5044069,baby
5044091,baby
5044670,baby
5044692,baby
5045924,baby
5045979,baby
5046600,baby
5046632,baby
5046643,baby
5047090,baby
5047103,baby
5052850,baby
5052861,baby
5055860,baby
5055940,baby
5062934,baby
5063074,baby
5063813,baby
5063835,baby
5064033,baby
5064146,baby
5112373,baby
5112395,baby
5112409,baby
5118008,baby
5118030,baby
5118074,baby
5236897,baby
5236911,baby
5239658,baby
5239669,baby
5239680,baby
5239691,baby
5241412,baby
5241842,baby
5242685,baby
5243145,baby
5245016,baby
5245049,baby
5245107,baby
5245130,baby
5245151,baby
5253637,baby
5254629,baby
5331082,baby
5331402,baby
5335505,baby
5349791,baby
5356629,baby
5356913,baby
5356935,baby
5356957,baby
5356979,baby
5379690,baby
5381262,baby
5420524,baby
5420535,baby
5487693,baby
5488186,baby
5488244,baby
5488266,baby
5488299,baby
5527903,baby
5527936,baby
5578664,baby
5725485,baby
5742804,baby
5823892,baby
5974264,baby
6026834,baby
6026856,baby
6027076,baby
6027087,baby
6027112,baby
6027167,baby
6027178,baby
6027189,baby
6038006,baby
6060130,baby
6065950,baby
6066023,baby
6082992,baby
6124480,baby
6134804,baby
6179551,baby
6184391,baby
6187265,baby
6187301,baby
6199606,baby
6248053,baby
6251717,baby
6252469,baby
6293579,baby
6293648,baby
6293659,baby
6293660,baby
6295290,baby
6295304,baby
6295326,baby
6295440,baby
6295450,baby
6295520,baby
6295541,baby
6295552,baby
6295563,baby
6295574,baby
6295585,baby
6295676,baby
6295687,baby
6295698,baby
6320558,baby
6336296,baby
6383150,baby
6396844,baby
6396866,baby
6396980,baby
6398737,baby
6399707,baby
6438172,baby
6448799,baby
6448824,baby
6487735,baby
6579550,baby
6579607,baby
6579629,baby
6579630,baby
6579640,baby
6607600,baby
6613239,baby
6763800,baby
6802559,baby
6803008,baby
6803100,baby
6803110,baby
6803890,baby
6803904,baby
6846973,baby
6861070,baby
6894579,baby
6928499,baby
6928659,baby
6957420,baby
6988515,baby
7036458,baby
7060656,baby
7060725,baby
7060769,baby
7060940,baby
7060995,baby
7061047,baby
7061116,baby
7061615,baby
7062673,baby
7062822,baby
7062866,baby
7062946,baby
7069956,baby
7069990,baby
7073046,baby
7085362,baby
7087765,baby
7105404,baby
7105459,baby
7105506,baby
7127156,baby
7210351,baby
7210373,baby
7259907,baby
7268680,baby
7269092,baby
7436514,baby
7572126,baby
7572228,baby
7572239,baby
7684640,baby
7684662,baby
7684684,baby
7711277,baby
7713829,baby
7713997,baby
7714016,baby
7714049,baby
7730624,baby
7730840,baby
7733189,baby
7749881,baby
7760476,baby
7761060,baby
7761129,baby
7916098,baby
8016853,baby
8017506,baby
8017620,baby
8017641,baby
8017732,baby
8017776,baby
8017787,baby
8017798,baby
8017812,baby
8017823,baby
8017845,baby
8017856,baby
8017878,baby
8017889,baby
8017890,baby
8017903,baby
8017914,baby
8017925,baby
8017936,baby
8017958,baby
8017969,baby
8017970,baby
8131680,baby
8146189,baby
8146269,baby
8146371,baby
8146393,baby
8146418,baby
8146542,baby
8146677,baby
8146699,baby
8147669,baby
8147986,baby
8148548,baby
8148617,baby
8148628,baby
8148661,baby
8148708,baby
8148832,baby
8148854,baby
8148887,baby
8148901,baby
8148945,baby
8151688,baby
8152024,baby
8152035,baby
8152046,baby
8160612,baby
8160645,baby
8160714,baby
8160805,baby
8160940,baby
8161455,baby
8161524,baby
8161590,baby
8161615,baby
8161660,baby
8166492,baby
8166539,baby
8167123,baby
8167327,baby
8167371,baby
8169956,baby
8174130,baby
8174286,baby
